Тренер по продажам," ПОБЕДА, кондитерская фабрика", з/п не указана,Екатеринбург,3–6 лет
Менеджер по персоналу, САКС Игрушки,от 35 000 до 38 000 руб.,Екатеринбург,3–6 лет
Менеджер по подбору персонала," АНКОР, кадровый холдинг", з/п не указана,Екатеринбург,1–3 года
Специалист по кадровому администрированию, Мобильные ТелеСистемы (МТС),от 21 700 до 25 000 руб.,Екатеринбург,1–3 года
Руководитель группы кадрового администрирования, Мобильные ТелеСистемы (МТС),от 43 500 руб.,Екатеринбург,3–6 лет
Руководитель центра нормирования труда (Якутия), PENNY LANE PERSONNEL,от 150 000 до 200 000 руб.,Екатеринбург,более 6 лет
Бизнес-тренер,ЗАО Металлинвест,от 70 000 руб.,Екатеринбург,1–3 года
Дивизиональный менеджер по персоналу," X5 RETAIL GROUP, супермаркет ""Перекресток""", з/п не указана,"Екатеринбург, ",3–6 лет
Региональный менеджер по персоналу (Руководитель отдела)," X5 RETAIL GROUP, супермаркет ""Перекресток""",от 60 000 руб.,Екатеринбург,3–6 лет
Тренер (Dietsmann),ОАО Энел Россия, з/п не указана,Екатеринбург,3–6 лет
Территориальный директор (УРФО)," Магазин постоянных распродаж, Федеральная сеть магазинов",от 80 000 до 150 000 руб.,Екатеринбург,3–6 лет
Руководитель отдела обучения и развития в производственную компанию (г.Братск)," АНКОР, кадровый холдинг", з/п не указана,Екатеринбург,1–3 года
Менеджер по персоналу, Фармаимпекс,от 30 000 до 45 000 руб.,Екатеринбург,1–3 года
Руководитель сектора обучения," МАГНИТ, Розничная сеть",от 29 000 до 33 000 руб.,Екатеринбург,1–3 года
Руководитель сектора," МАГНИТ, Розничная сеть",от 34 800 до 44 213 руб.,Екатеринбург,1–3 года
Менеджер по персоналу (кадровое делопроизводство)," Пикник, Торговая сеть",до 25 000 руб.,Екатеринбург,1–3 года
Бухгалтер по расчету заработной платы, Почта России,от 18 000 до 20 700 руб.,"Екатеринбург, ",1–3 года
Менеджер по кадровому делопроизводству," 585, Золотой",от 23 000 до 27 000 руб.,Екатеринбург,1–3 года
Ведущий специалист по подбору персонала,ЗАО Мегамарт, з/п не указана,Екатеринбург,1–3 года
Супервайзер по рекрутменту, Sirotina Personnel, з/п не указана,Екатеринбург,3–6 лет
Руководитель кадровой службы,ООО Ассорти, з/п не указана,Екатеринбург,3–6 лет
Менеджер по персоналу,"ООО Лудинг, ООО", з/п не указана,Екатеринбург,1–3 года
Менеджер по подбору персонала (Консультант)," АНКОР, кадровый холдинг", з/п не указана,Екатеринбург,1–3 года
Бизнер-тренер (розничные продажи), Росгосстрах,от 25 000 до 40 000 руб.,Екатеринбург,1–3 года
Тренинг-менеджер в отдел обучения фронт-зоны,ПАО КБ «Уральский банк реконструкции и развития» (УБРиР), з/п не указана,Екатеринбург,1–3 года
Менеджер по обучению," Компания «Много Мебели», Центральный офис",от 33 500 до 48 500 руб.,Екатеринбург,1–3 года
Рекрутер, Сильвер Лайн Групп,от 23 000 руб.,Екатеринбург,1–3 года
Менеджер по массовому набору персонала, Мобильные ТелеСистемы (МТС),от 34 000 до 39 000 руб.,Екатеринбург,1–3 года
Помощник регионального директора,ООО Центр Аналитики и Финансовых Технологий,от 70 000 руб.,Екатеринбург,1–3 года
Ассистент руководителя, Уральский Центр Прикладного Бизнес Образования, з/п не указана,Екатеринбург,1–3 года
Специалист по кадровому делопроизводству, ОАО «Газпромнефть-Урал»,от 24 200 до 31 400 руб.,Екатеринбург,1–3 года
Экономист по труду и заработной плате, Почта России,от 22 800 до 25 000 руб.,"Екатеринбург, ",1–3 года
Начальник отдела кадров,ООО Ротекс,от 30 000 до 35 000 руб.,Екатеринбург,3–6 лет
"Главный специалист Сектора обучения Регионального Центра, Бизнес-тренер"," ОТП Банк, АО (OTP bank)", з/п не указана,Екатеринбург,1–3 года
Менеджер по персоналу ( HR-generalist)," X5 RETAIL GROUP, Центральный офис",от 30 000 до 40 000 руб.,"Екатеринбург, ",3–6 лет
Ведущий специалист по подбору и адаптации персонала, ООО «Газпромнефть-Терминал», з/п не указана,Екатеринбург,1–3 года
Менеджер по кадровому делопроизводству, БИНБАНК,от 31 000 руб.,Екатеринбург,1–3 года
Специалист по обучению, Дом.ru,от 30 000 до 35 000 руб.,Екатеринбург,1–3 года
Ведущий специалист по развитию персонала,ОАО СКБ-Банк, з/п не указана,Екатеринбург,3–6 лет
Главный менеджер Отдела мониторинга затрат на персонал (Экономист по труду),ОАО Трубная Металлургическая Компания,от 55 000 руб.,"Екатеринбург, ",3–6 лет
Директор Дивизиона магазинов INCITY и DESEO,"ОАО «Модный Континент» бренды INCITY (Инсити), DESEO (Десео)", з/п не указана,Екатеринбург,1–3 года
Ведущий специалист группы методологии стандартов и технологий продаж,ПАО КБ «Уральский банк реконструкции и развития» (УБРиР), з/п не указана,Екатеринбург,1–3 года
Тренер-наставник," Магазин постоянных распродаж, Федеральная сеть магазинов",до 60 000 руб.,Екатеринбург,3–6 лет
Региональный тренер," X5 RETAIL GROUP, Карусель",от 40 000 руб.,Екатеринбург,1–3 года
Заместитель директора кинотеатра, КАРО Фильм Менеджмент, з/п не указана,Екатеринбург,1–3 года
Менеджер по персоналу," ЭТМ, компания",от 28 000 до 30 000 руб.,Екатеринбург,1–3 года
Руководитель отдела по работе с персоналом (статус HR бизнес-партнер), Facilicom,от 100 000 руб.,Екатеринбург,1–3 года
Менеджер по персоналу, ФармАрт,от 30 000 до 40 000 руб.,Екатеринбург,3–6 лет
Cтарший инспектор (организационно-кадровый отдел), Сбербанк России для экспертов, з/п не указана,Екатеринбург,не требуется
Управляющий салоном," Компания «Много Мебели», Розничная сеть салонов",от 35 000 руб.,Екатеринбург,1–3 года
Управляющий салоном мебели," Компания «Много Мебели», Розничная сеть салонов",от 40 000 руб.,Екатеринбург,1–3 года
Рекрутер / Менеджер по персоналу, МЕГА-Ф, з/п не указана,Екатеринбург,1–3 года
HR менеджер Регионального Представительства, Цифрал-Сервис Сибирь,от 40 000 руб.,Екатеринбург,3–6 лет
"Начальник отдела оплаты труда, компенсаций и льгот","ОАО Челябинский Трубопрокатный Завод, (ЧТПЗ)", з/п не указана,Екатеринбург,1–3 года
Консультант по подбору и оценке персонала, Уральский Центр Прикладного Бизнес Образования,от 20 000 до 30 000 руб.,Екатеринбург,1–3 года
Директор (управляющий) магазина INCITY,"ОАО «Модный Континент» бренды INCITY (Инсити), DESEO (Десео)",до 48 000 руб.,Екатеринбург,1–3 года
Руководитель структурного подразделения,ООО Эскалат,от 30 000 до 45 000 руб.,Екатеринбург,1–3 года
Специалист по кадрам," Ростелеком, Многофункциональный общий центр обслуживания",от 20 000 руб.,Екатеринбург,1–3 года
Директор по рекрутменту, Adecco Group Russia, з/п не указана,Екатеринбург,3–6 лет
Менеджер по кадрам, АйТиЭм Холдинг,от 30 000 до 30 000 руб.,Екатеринбург,1–3 года
Управляющий группой кухонных студий," Мебельная фабрика ""Мария""  Кухонные студии", з/п не указана,Екатеринбург,3–6 лет
Менеджер по электротехническому обучению, Ассоциация «Русский Свет»,от 37 500 руб.,Екатеринбург,1–3 года
Менеджер по персоналу (Park Inn by Radisson / г. Нижний Тагил), Rezidor Russia, з/п не указана,Екатеринбург,3–6 лет
Начальник службы подбора и развития персонала, АйТиЭм Холдинг,от 60 000 до 90 000 руб.,Екатеринбург,3–6 лет
Помощник руководителя,ЗАО Русская медная компания,от 30 000 руб.,Екатеринбург,1–3 года
Менеджер по персоналу, Русбизнесавто,до 33 000 руб.,Екатеринбург,1–3 года
"Начальник отдела оплаты труда, компенсаций и льгот"," АНКОР, кадровый холдинг", з/п не указана,Екатеринбург,3–6 лет
Директор по персоналу (в ХМАО г.Сургут)," Рост, Торговая сеть",от 120 000 руб.,Екатеринбург,3–6 лет
Территориальный руководитель группы продаж,АО Тинькофф Банк,от 70 000 руб.,Екатеринбург,1–3 года
Региональный директор в г.Екатеринбург,ООО ГК Семь пятниц, з/п не указана,Екатеринбург,3–6 лет
Менеджер по персоналу,ООО ГК Семь пятниц, з/п не указана,Екатеринбург,1–3 года
Региональный директор (Свердловская область),ООО ГК Семь пятниц, з/п не указана,Екатеринбург,3–6 лет
Специалист по кадрам с функциями бухгалтера, АМОТЕА Инжиниринг Групп,от 23 000 руб.,Екатеринбург,1–3 года
Дивизиональный менеджер по персоналу," X5 RETAIL GROUP, супермаркет ""Перекресток""", з/п не указана,Екатеринбург,3–6 лет
Менеджер по подбору персонала, Екатеринбургская энергостроительная компания,от 30 000 руб.,Екатеринбург,1–3 года
Директор по персоналу, Агентство Контакт,от 120 000 руб.,Екатеринбург,3–6 лет
Ведущий инспектор по кадрам,ООО Завод трансформаторных подстанций,от 23 000 до 25 000 руб.,"Екатеринбург, ",1–3 года
Руководитель торгового сектора, Kelly Services, з/п не указана,Екатеринбург,3–6 лет
Региональный корпоративный тренер, Дом.ru, з/п не указана,Екатеринбург,1–3 года
Специалист по обучению и развитию персонала, Уральская горно-металлургическая компания, з/п не указана,Екатеринбург,1–3 года
Руководитель отдела по обучению и развитию (г.Братск), Kelly Services,от 80 000 руб.,Екатеринбург,более 6 лет
Руководитель направления внутренних коммуникаций (г.Братск)," АНКОР, кадровый холдинг", з/п не указана,Екатеринбург,3–6 лет
Специалист отдела кадров (в г. Салехард), Лик-Ямал Группа Компаний, з/п не указана,Екатеринбург,1–3 года
Коммерческий директор, Университет СИНЕРГИЯ, з/п не указана,Екатеринбург,более 6 лет
Ведущий специалист отдела кадрового делопроизводства,ОАО СКБ-Банк, з/п не указана,"Екатеринбург, ",1–3 года
Менеджер по оценке и развитию персонала,ЗАО Мегамарт,от 32 000 руб.,Екатеринбург,1–3 года
Менеджер по персоналу,ЗАО Мегамарт,от 32 000 руб.,Екатеринбург,не требуется
Cпециалист по подбору персонала, Альфа-Банк, з/п не указана,Екатеринбург,1–3 года
Аудитор системы менеджмента качества,ООО ГК Семь пятниц, з/п не указана,Екатеринбург,1–3 года
Менеджер по качеству,ООО ГК Семь пятниц,от 25 500 до 25 500 руб.,Екатеринбург,1–3 года
Руководитель проекта Фитнес-центр (премиум класс), Кит,от 80 000 руб.,"Екатеринбург, ",более 6 лет
Менеджер по подбору персонала, Студия 51,от 30 000 руб.,Екатеринбург,3–6 лет
Тренинг-менеджер, «АльфаСтрахование», з/п не указана,"Екатеринбург, ",1–3 года
Менеджер по работе с персоналом, «АльфаСтрахование», з/п не указана,Екатеринбург,3–6 лет
Директор по персоналу, Kelly Services,от 600 000 до 600 000 руб.,Екатеринбург,3–6 лет
Менеджер по персоналу, Уральский центр систем безопасности, з/п не указана,Екатеринбург,1–3 года
Управляющий розничной сетью," Орматек, ГК",от 40 000 руб.,Екатеринбург,1–3 года
Старший специалист группы дистанционного обучения,ПАО КБ «Уральский банк реконструкции и развития» (УБРиР),от 28 000 руб.,Екатеринбург,1–3 года
Руководитель отдела продаж," Ренессанс Жизнь, Страховая компания",от 50 000 руб.,"Екатеринбург, ",1–3 года
Экономист по работе с финансовыми институтами,ПАО КБ «Уральский банк реконструкции и развития» (УБРиР),от 21 000 руб.,Екатеринбург,не требуется
Юрист (исполнительное производство), Микрофинанс Управляющая компания,от 40 000 до 90 000 руб.,Екатеринбург,1–3 года
Юрисконсульт, СКБ Контур,от 30 000 руб.,"Екатеринбург, ",3–6 лет
Юрисконсульт, Мобильные ТелеСистемы (МТС), з/п не указана,Екатеринбург,3–6 лет
Юрисконсульт по договорной и претензионно-исковой работе,ОАО СКБ-Банк, з/п не указана,Екатеринбург,1–3 года
Агент по выездному взысканию задолженности на досудебной стадии в Управление выездного взыскания,ООО Центр-Профи,от 20 000 руб.,Екатеринбург,не требуется
Агент по выездному взысканию задолженности на досудебной стадии в Управление выездного взыскания,ООО Центр-Профи,от 20 000 руб.,Екатеринбург,не требуется
Агент по выездному взысканию задолженности на досудебной стадии в Управление выездного взыскания,ООО Центр-Профи,от 20 000 руб.,Екатеринбург,не требуется
Ведущий юрисконсульт,ООО РТ-Инвест Транспортные Системы, з/п не указана,Екатеринбург,3–6 лет
Специалист по сбору денежных средств,ОАО ЭнергосбыТ Плюс,от 20 000 до 22 000 руб.,Екатеринбург,1–3 года
Заместитель начальника Правового департамента,ЗАО Управляющая компания «Аэропорты Регионов», з/п не указана,Екатеринбург,1–3 года
Юрисконсульт,ЗАО БАНК ИНТЕЗА, з/п не указана,Екатеринбург,1–3 года
Инспектор по розыску неплательщиков, Хоум Кредит энд Финанс Банк, з/п не указана,Екатеринбург,не требуется
Начальник юридического отдела," АНКОР, кадровый холдинг", з/п не указана,Екатеринбург,3–6 лет
Юрист (в ЖКХ),ЗАО Кадровик,от 25 000 до 30 000 руб.,Екатеринбург,1–3 года
Юрисконсульт I категории,ОАО Энергостройинвест-Холдинг,от 25 000 до 25 000 руб.,Екатеринбург,1–3 года
Ведущий юрисконсульт,ОАО Филиал ОАО «НЛМК» в г. Екатеринбурге – «НЛМК-Урал,от 43 000 руб.,Екатеринбург,3–6 лет
Юрист," Ренессанс Кредит, Урал", з/п не указана,Екатеринбург,1–3 года
Специалист по выездному взысканию, Агентство Кредит Финанс,до 60 000 руб.,Екатеринбург,не требуется
Патентовед, Уральский оптико-механический завод, з/п не указана,Екатеринбург,не требуется
Главный юрисконсульт,"ЗАО УралСиб, Страховая группа", з/п не указана,"Екатеринбург, ",1–3 года
Юрисконсульт," Юнилэнд-Екатеринбург,  ЗАО Компания",от 28 000 до 35 000 руб.,"Екатеринбург, ",3–6 лет
Руководитель Департамента юридического сопровождения, Почта России, з/п не указана,Екатеринбург,более 6 лет
Главный юрисконсульт юридического отдела," ЗЕНИТ, банк", з/п не указана,Екатеринбург,1–3 года
Специалист отдела правового сопровождения СКП (Юрист),ОАО Выборг-банк, з/п не указана,Екатеринбург,3–6 лет
Начальник отдела сопровождения проектов и обеспечения финансовой деятельности (юрист),"ОАО Челябинский Трубопрокатный Завод, (ЧТПЗ)", з/п не указана,Екатеринбург,3–6 лет
Ведущий юрисконсульт,ОАО УК РосСпецСплав-Группа МидЮрал,от 40 000 руб.,Екатеринбург,3–6 лет
Главный специалист координатор, Агентство по сбору долгов,от 30 000 до 70 000 руб.,Екатеринбург,1–3 года
Специалист по взысканию задолженности, Сентинел Кредит Менеджмент, з/п не указана,Екатеринбург,1–3 года
Юрист (по договорной работе)," СуперСтрой, Cеть строительных магазинов",от 25 000 до 30 000 руб.,"Екатеринбург, ",3–6 лет
Юрисконсульт," ВСК, САО",от 29 000 до 29 000 руб.,Екатеринбург,1–3 года
Ведущий специалист (по тендерной работе), Росжелдорпроект,от 30 000 до 45 000 руб.,"Екатеринбург, ",3–6 лет
"Начальник юридического отдела (производственное предприятие, г. Каменск-Уральский)"," АНКОР, кадровый холдинг", з/п не указана,Екатеринбург,3–6 лет
Директор по юридическим вопросам,ООО Управляющая компания Промышленные инвестиции,от 150 000 до 200 000 руб.,Екатеринбург,3–6 лет
Старший юрисконсульт отдела правового обеспечения деятельности банка, Сбербанк России для экспертов, з/п не указана,Екатеринбург,не требуется
Юрисконсульт,ООО Завод трансформаторных подстанций,от 27 000 до 30 000 руб.,"Екатеринбург, ",1–3 года
Юрисконсульт,ООО Завод трансформаторных подстанций,от 20 000 до 23 000 руб.,"Екатеринбург, ",1–3 года
Бизнес-ассистент,ООО КНОПКА,от 35 000 руб.,Екатеринбург,1–3 года
Ведущий юрисконсульт отдела правового сопровождения кредитных операций юридического департамента,"ООО Кольцо Урала,КБ",до 45 000 руб.,Екатеринбург,1–3 года
Юрист, ALCG,от 35 000 руб.,Екатеринбург,3–6 лет
Юрисконсульт (г. Екатеринбург), УралТрансБанк,от 18 000 до 20 000 руб.,"Екатеринбург, ",1–3 года
Юрисконсульт," 585, Золотой",от 32 000 до 35 000 руб.,Екатеринбург,1–3 года
Налоговый консультант,ОАО Филиал ОАО «НЛМК» в г. Екатеринбурге – «НЛМК-Урал,от 57 000 руб.,Екатеринбург,3–6 лет
Специалист по претензионно-исковой работе и судебной защите," ТРАСТ, Национальный банк", з/п не указана,Екатеринбург,1–3 года
Контролер филиала (Екатеринбург),АО Газпромбанк, з/п не указана,Екатеринбург,1–3 года
Специалист по документационному сопровождению, ЛСР. Недвижимость - Урал,от 25 000 до 25 000 руб.,Екатеринбург,1–3 года
Юрисконсульт (ЯНАО),ЗАО Ренейссанс Констракшн, з/п не указана,Екатеринбург,3–6 лет
Ведущий юрисконсульт по корпоративной работе,ЗАО Русская медная компания,от 50 000 руб.,Екатеринбург,3–6 лет
Ведущий юрисконсульт, ВТБ 24,от 32 740 руб.,Екатеринбург,1–3 года
Ведущий менеджер по работе с арендаторами,ООО Mallino development group,от 55 000 руб.,"Екатеринбург, ",1–3 года
Ведущий юрисконсульт,ООО Mallino development group,от 39 000 руб.,"Екатеринбург, ",1–3 года
Специалист тендерного отдела, Уралэнергостройкомплекс,от 25 000 до 30 000 руб.,"Екатеринбург, ",1–3 года
Юрист,ЗАО Мегамарт,от 35 000 руб.,Екатеринбург,1–3 года
Руководитель юридического отдела производственного предприятия, Кит,от 70 000 руб.,Екатеринбург,3–6 лет
Ведущий юрист в строительную организацию (СРО), Кит, з/п не указана,Екатеринбург,1–3 года
Руководитель отдела в юридическую компанию, Кит,от 60 000 до 120 000 руб.,Екатеринбург,более 6 лет
Менеджер по работе с дебиторской задолженностью," Эксмо, издательство",от 22 000 до 30 000 руб.,Екатеринбург,1–3 года
Юрист," Ренессанс Страхование, Группа", з/п не указана,"Екатеринбург, ",1–3 года
Управляющий кофейни (Starbucks),ООО МОНЭКС ТРЕЙДИНГ, з/п не указана,Екатеринбург,1–3 года
Закупщик (управление товарными запасами)," Монетка, Торговая сеть",от 30 000 до 45 000 руб.,Екатеринбург,1–3 года
Грузчик-сборщик товаров для детей,ООО МегаТорг,от 25 000 до 30 000 руб.,Екатеринбург,не требуется
Менеджер по работе с ключевыми клиентами (КАМ), Компания «Экосистема», з/п не указана,Екатеринбург,3–6 лет
Водитель-курьер на личном автомобиле, СДЭК,от 35 000 руб.,Екатеринбург,1–3 года
Логист / Координатор доставки, Магнат,от 28 000 руб.,Екатеринбург,1–3 года
Старший смены склада, Магнат,до 32 000 руб.,Екатеринбург,1–3 года
Менеджер по логистике, ТСК Групп, з/п не указана,Екатеринбург,1–3 года
Водитель погрузчика, Алютех,от 30 000 руб.,Екатеринбург,1–3 года
Старший смены (комплектовочного участка), Алютех,от 29 000 до 37 000 руб.,Екатеринбург,1–3 года
Менеджер по железнодорожным перевозкам, Технологии кадровых решений,от 20 000 до 40 000 руб.,Екатеринбург,1–3 года
Менеджер по направлению железнодорожные перевозки, Технологии кадровых решений,от 35 000 руб.,Екатеринбург,1–3 года
Менеджер активных продаж (услуг таможенного оформления импортных грузов), Технологии кадровых решений,от 50 000 руб.,Екатеринбург,1–3 года
Оператор ПК, Технологии кадровых решений,от 25 000 руб.,Екатеринбург,1–3 года
Логист, Технологии кадровых решений,от 30 000 руб.,Екатеринбург,1–3 года
"Менеджер активных продаж (услуг авиа, ж/д, авто перевозок, таможенного оформления грузов)", Технологии кадровых решений,от 30 000 руб.,Екатеринбург,1–3 года
Логист по международным перевозкам,ООО Сима-ленд, з/п не указана,Екатеринбург,1–3 года
Товаровед,ЗАО Кадровик,от 30 000 до 30 000 руб.,Екатеринбург,3–6 лет
Диспетчер транспортного отдела," X5 RETAIL GROUP, X5 Logistic",от 18 000 до 22 500 руб.,Екатеринбург,1–3 года
Кладовщик в новый автоцентр (р-н Вторчермет),ООО Автобан,от 20 000 руб.,Екатеринбург,1–3 года
Начальник управления механизации, АМОТЕА Инжиниринг Групп, з/п не указана,Екатеринбург,3–6 лет
Директор управления механизации (гусеничная техника)," АНКОР, кадровый холдинг", з/п не указана,Екатеринбург,3–6 лет
Кладовщик-грузчик,ООО Мосшин,от 20 000 руб.,Екатеринбург,не требуется
Водитель-экспедитор,ООО Мосшин,от 25 000 руб.,Екатеринбург,1–3 года
Руководитель сектора ночной логистики, Леруа Мерлен, з/п не указана,Екатеринбург,3–6 лет
Кладовщик-комплектовщик, Берг-Холдинг,от 19 000 до 28 000 руб.,Екатеринбург,1–3 года
Водитель МЗКТ - седельного тягача,ООО Уренгойдорстрой,от 80 000 до 80 000 руб.,Екатеринбург,3–6 лет
Специалист по работе с клиентами," КИТ, Транспортная компания", з/п не указана,Екатеринбург,1–3 года
Руководитель обособленного подразделения в г.Екатеринбурге,ООО Эйр Трансс, з/п не указана,Екатеринбург,1–3 года
Водитель категории С, Компания «Экосистема»,от 33 000 до 50 000 руб.,Екатеринбург,3–6 лет
Сетевой приемщик товара," Пикник, Торговая сеть",до 25 000 руб.,Екатеринбург,1–3 года
Приемщик товара," Пикник, Торговая сеть",до 22 000 руб.,Екатеринбург,не требуется
Руководитель проекта (продвижение ПО для таможенного оформления ВЭД), Апрайт-рекрутинг,от 50 000 руб.,"Екатеринбург, ",3–6 лет
Начальник склада, Терморос, з/п не указана,Екатеринбург,3–6 лет
Горный мастер," АНКОР, кадровый холдинг", з/п не указана,Екатеринбург,1–3 года
Начальник строительно-монтажного управления (СМУ), АМОТЕА Инжиниринг Групп, з/п не указана,Екатеринбург,более 6 лет
Специалист по ВЭД, АМОТЕА Инжиниринг Групп,от 30 000 руб.,Екатеринбург,1–3 года
Заместитель начальника участка, АМОТЕА Инжиниринг Групп,от 60 000 руб.,Екатеринбург,1–3 года
Менеджер по продажам логистических услуг, Школа скорочтения и развития памяти,от 18 000 до 35 000 руб.,"Екатеринбург, ",1–3 года
Менеджер по транспортной логистике,ООО СпецМонолитСтрой-Екатеринбург,от 23 000 до 27 000 руб.,Екатеринбург,1–3 года
Логист в транспортную компанию," ЯН, Транспортная компания",от 15 000 до 45 000 руб.,"Екатеринбург, ",", "
Специалист по логистике,ООО Кератон-Урал,от 25 000 руб.,"Екатеринбург, ",1–3 года
Начальник направления по строительству и капитальному ремонту нефтепроводов, АМОТЕА Инжиниринг Групп, з/п не указана,Екатеринбург,более 6 лет
Менеджер по продажам услуг спецтехники,ООО ИнертСнабСтрой, з/п не указана,"Екатеринбург, ",не требуется
Водитель-экспедитор, PepsiCo/Вимм-Билль-Данн,от 30 000 до 40 000 руб.,Екатеринбург,1–3 года
Специалист по оптимизации бизнес-процессов, Деловые Линии, з/п не указана,Екатеринбург,3–6 лет
Старший менеджер по логистике," X5 RETAIL GROUP, Центральный офис",от 32 000 руб.,Екатеринбург,1–3 года
Заместитель начальника склада, MERLION,от 35 000 до 50 000 руб.,Екатеринбург,3–6 лет
Руководитель направления транспортной и складской логистики," Монетка, Торговая сеть",от 100 000 до 140 000 руб.,Екатеринбург,3–6 лет
Кладовщик-грузчик,ООО Интегрита,до 26 000 руб.,Екатеринбург,1–3 года
Начальник участка, АМОТЕА Инжиниринг Групп, з/п не указана,Екатеринбург,3–6 лет
Водитель-экспедитор на личном автомобиле,ООО Petshop.ru,от 30 000 руб.,Екатеринбург,3–6 лет
Руководитель отдела закупок и ассортимента, Конструктор кадровых решений,от 120 000 руб.,Екатеринбург,3–6 лет
Рабочий склада,ЗАО Научно-производственный комплекс ВИП,от 18 000 до 20 000 руб.,"Екатеринбург, ",не требуется
Кладовщик,ООО Мирошниченко Сергей,от 20 000 до 20 000 руб.,Екатеринбург,1–3 года
Менеджер-диспетчер по автомобильным грузоперевозкам,ООО ИнфоТранс,от 40 000 до 80 000 руб.,Екатеринбург,3–6 лет
Начальник службы эксплуатации ФРЦ," Группа Компаний «СПОРТМАСТЕР», Логистика", з/п не указана,Екатеринбург,3–6 лет
Приемщик товара,ЗАО Мегамарт,от 23 500 руб.,Екатеринбург,не требуется
Приемщик товара,ЗАО Мегамарт,от 23 500 руб.,Екатеринбург,не требуется
Кладовщик," ЭТМ, компания",от 23 000 до 28 000 руб.,Екатеринбург,1–3 года
Ревизор (магазины)," Монетка, Торговая сеть",от 28 000 до 35 000 руб.,Екатеринбург,1–3 года
Менеджер по продажам, LCM Group,от 30 000 руб.,Екатеринбург,1–3 года
Водитель категории Е,ООО ТранКо,от 40 000 руб.,Екатеринбург,3–6 лет
Кладовщик, Армтек,от 25 000 руб.,"Екатеринбург, ",не требуется
Водитель-экспедитор (категории С), Unilever,от 38 000 руб.,"Екатеринбург, ",1–3 года
Менеджер по логистике,АО РЖД Логистика,от 36 000 до 38 000 руб.,Екатеринбург,3–6 лет
Специалист,АО РЖД Логистика, з/п не указана,Екатеринбург,3–6 лет
Менеджер по продажам логистических услуг, КРАФТЕР, з/п не указана,"Екатеринбург, ",", "
Водитель,ОАО СКБ-Банк, з/п не указана,Екатеринбург,3–6 лет
Специалист по работе с клиентами," КИТ, Транспортная компания", з/п не указана,Екатеринбург,1–3 года
Инженер по техническому контролю за грузоподъемными механизмами, АМОТЕА Инжиниринг Групп, з/п не указана,Екатеринбург,1–3 года
